loan_amnt,int_rate,term_in_months,grade,job_title,home_ownership,annual_inc,loan_status,purpose,did_default
38000,0.1992,60,D,Controller,MORTGAGE,92000.0,Fully Paid,major_purchase,False
30000,0.1894,36,D,Supervisor,OWN,52000.0,Fully Paid,debt_consolidation,False
7200,0.0881,36,A,Technician,MORTGAGE,92000.0,Fully Paid,moving,False
14000,0.1992,36,D,Nurse,RENT,75000.0,Fully Paid,credit_card,False
5000,0.2089,36,D,Project Manager,RENT,122000.0,Fully Paid,other,False
5000,0.0819,36,A,Technician,RENT,65000.0,Fully Paid,home_improvement,False
6400,0.2437,36,E,Supervisor,RENT,75000.0,Fully Paid,debt_consolidation,False
10000,0.1298,36,B,Executive Assistant,RENT,59799.0,Fully Paid,debt_consolidation,False
15000,0.118,60,B,Teacher,MORTGAGE,52000.0,Fully Paid,debt_consolidation,False
15000,0.1298,60,B,Manager,MORTGAGE,97000.0,Fully Paid,house,False
25000,0.1298,60,B,Truck Driver,MORTGAGE,65000.0,Fully Paid,debt_consolidation,False
1200,0.2727,36,E,Manager,MORTGAGE,30000.0,Fully Paid,vacation,False
2400,0.0756,36,A,Operations Manager,RENT,76000.0,Fully Paid,major_purchase,False
17000,0.1072,36,B,Account Manager,OWN,128000.0,Fully Paid,medical,False
2800,0.1298,36,B,Nurse,MORTGAGE,73000.0,Fully Paid,debt_consolidation,False
10000,0.1356,60,C,Accountant,MORTGAGE,68500.0,Fully Paid,debt_consolidation,False
21000,0.0646,36,A,Owner,RENT,88450.0,Fully Paid,debt_consolidation,False
40000,0.0646,36,A,Sales,MORTGAGE,140000.0,Fully Paid,credit_card,False
10000,0.0646,36,A,Analyst,MORTGAGE,125000.0,Fully Paid,debt_consolidation,False
30000,0.1992,36,D,Nurse,MORTGAGE,95000.0,Fully Paid,credit_card,False
28925,0.1614,36,C,Manager,MORTGAGE,110000.0,Fully Paid,credit_card,False
35000,0.1992,60,D,General Manager,RENT,220000.0,Fully Paid,debt_consolidation,False
7000,0.0756,36,A,Supervisor,MORTGAGE,70000.0,Fully Paid,credit_card,False
10000,0.2089,36,D,Teacher,MORTGAGE,71000.0,Fully Paid,medical,False
7000,0.1298,36,B,Project Manager,MORTGAGE,120000.0,Fully Paid,debt_consolidation,False
25000,0.1298,60,B,Engineer,MORTGAGE,120000.0,Fully Paid,debt_consolidation,False
14600,0.118,36,B,Store Manager,MORTGAGE,91000.0,Fully Paid,debt_consolidation,False
18000,0.1033,36,B,Owner,OWN,40000.0,Fully Paid,small_business,False
10000,0.1614,36,C,General Manager,MORTGAGE,107500.0,Fully Paid,home_improvement,False
5000,0.1447,36,C,Driver,MORTGAGE,70000.0,Fully Paid,home_improvement,False
16000,0.1072,60,B,Manager,MORTGAGE,125000.0,Fully Paid,other,False
1000,0.1894,36,D,Nurse,RENT,80000.0,Fully Paid,other,False
14450,0.1356,60,C,Manager,MORTGAGE,160000.0,Fully Paid,debt_consolidation,False
4000,0.1298,36,B,Teacher,MORTGAGE,107000.0,Fully Paid,credit_card,False
8400,0.1131,36,B,Nurse,RENT,65000.0,Fully Paid,major_purchase,False
8700,0.118,36,B,Paralegal,MORTGAGE,85000.0,Fully Paid,other,False
15000,0.1298,60,B,Engineer,MORTGAGE,80000.0,Fully Paid,home_improvement,False
10000,0.1447,60,C,Police Officer,MORTGAGE,70000.0,Fully Paid,debt_consolidation,False
24000,0.1131,36,B,Manager,MORTGAGE,175000.0,Fully Paid,credit_card,False
7500,0.1356,36,C,Operations Manager,RENT,35000.0,Fully Paid,debt_consolidation,False
4800,0.0646,36,A,Police Officer,MORTGAGE,155000.0,Fully Paid,vacation,False
30000,0.2339999999999999,60,E,Manager,RENT,54000.0,Fully Paid,other,False
24000,0.1614,60,C,Analyst,RENT,55000.0,Fully Paid,debt_consolidation,False
20000,0.2339999999999999,36,E,Paralegal,MORTGAGE,67000.0,Fully Paid,debt_consolidation,False
40000,0.1033,36,B,Driver,MORTGAGE,75000.0,Fully Paid,debt_consolidation,False
3000,0.0819,36,A,Driver,RENT,37500.0,Fully Paid,debt_consolidation,False
6000,0.1691,36,C,Supervisor,MORTGAGE,36000.0,Fully Paid,debt_consolidation,False
20000,0.1298,36,B,Teacher,RENT,72383.0,Fully Paid,other,False
2500,0.0756,36,A,Nurse,MORTGAGE,50000.0,Fully Paid,major_purchase,False
30000,0.2089,36,D,Manager,MORTGAGE,100000.0,Fully Paid,major_purchase,False
17775,0.1033,36,B,Nurse,MORTGAGE,85000.0,Fully Paid,debt_consolidation,False
8000,0.0756,36,A,Project Manager,MORTGAGE,72000.0,Fully Paid,debt_consolidation,False
35000,0.2235,60,D,Manager,RENT,75000.0,Fully Paid,debt_consolidation,False
10000,0.1894,36,D,Engineer,MORTGAGE,88000.0,Fully Paid,other,False
15000,0.1797,36,D,Nurse,RENT,90000.0,Fully Paid,debt_consolidation,False
1000,0.2534,36,E,Teacher,OWN,35000.0,Fully Paid,debt_consolidation,False
25000,0.1614,60,C,Nurse,MORTGAGE,70000.0,Fully Paid,credit_card,False
35000,0.1447,36,C,President,MORTGAGE,400000.0,Fully Paid,home_improvement,False
12000,0.0702,36,A,President,MORTGAGE,260000.0,Fully Paid,home_improvement,False
5000,0.1502,36,C,Nurse,MORTGAGE,63000.0,Fully Paid,house,False
4500,0.0819,36,A,Manager,MORTGAGE,125000.0,Fully Paid,small_business,False
10000,0.0702,36,A,Nurse,OWN,65000.0,Fully Paid,credit_card,False
4800,0.1691,36,C,Project Manager,RENT,76000.0,Fully Paid,debt_consolidation,False
24550,0.1992,36,D,Teacher,MORTGAGE,62000.0,Fully Paid,debt_consolidation,False
7000,0.1072,36,B,Manager,MORTGAGE,65000.0,Fully Paid,debt_consolidation,False
4000,0.118,36,B,Executive Assistant,RENT,85000.0,Fully Paid,debt_consolidation,False
11600,0.2339999999999999,36,E,Operations Manager,RENT,70000.0,Fully Paid,debt_consolidation,False
10000,0.0646,36,A,Operations Manager,RENT,115000.0,Fully Paid,major_purchase,False
25000,0.1447,60,C,Supervisor,MORTGAGE,65000.0,Fully Paid,debt_consolidation,False
10000,0.0819,36,A,Sales,MORTGAGE,65000.0,Fully Paid,debt_consolidation,False
28500,0.1614,60,C,Teacher,MORTGAGE,54047.0,Fully Paid,debt_consolidation,False
2500,0.1614,36,C,Supervisor,MORTGAGE,104000.0,Fully Paid,credit_card,False
35000,0.0646,36,A,Manager,MORTGAGE,112000.0,Fully Paid,car,False
26525,0.0819,36,A,General Manager,RENT,189000.0,Fully Paid,debt_consolidation,False
4000,0.2534,36,E,Nurse,MORTGAGE,55000.0,Fully Paid,home_improvement,False
3000,0.1033,36,B,Driver,OWN,61000.0,Fully Paid,other,False
35000,0.1614,60,C,Sales Manager,MORTGAGE,75000.0,Fully Paid,debt_consolidation,False
35000,0.1356,60,C,Supervisor,MORTGAGE,135000.0,Fully Paid,debt_consolidation,False
10000,0.2534,60,E,General Manager,RENT,43000.0,Fully Paid,debt_consolidation,False
22325,0.2089,60,D,Manager,OWN,63000.0,Fully Paid,credit_card,False
5000,0.1033,36,B,Sales,MORTGAGE,200000.0,Fully Paid,major_purchase,False
20000,0.118,60,B,Manager,MORTGAGE,99996.0,Fully Paid,debt_consolidation,False
35000,0.1447,36,C,Teacher,OWN,25000.0,Fully Paid,credit_card,False
40000,0.1072,36,B,Administrative Assistant,MORTGAGE,53000.0,Fully Paid,debt_consolidation,False
26000,0.0819,60,A,Supervisor,MORTGAGE,110000.0,Fully Paid,home_improvement,False
40000,0.1298,36,B,Sales,RENT,84000.0,Fully Paid,other,False
28000,0.0721,36,A,Teacher,MORTGAGE,108000.0,Fully Paid,credit_card,False
8000,0.0646,36,A,Engineer,MORTGAGE,120000.0,Fully Paid,credit_card,False
17400,0.1356,60,C,General Manager,MORTGAGE,165000.0,Fully Paid,home_improvement,False
24000,0.1894,36,D,Teacher,RENT,65000.0,Fully Paid,debt_consolidation,False
18000,0.1614,60,C,Analyst,MORTGAGE,120000.0,Fully Paid,home_improvement,False
15000,0.0881,36,A,Technician,MORTGAGE,75000.0,Fully Paid,credit_card,False
30000,0.2235,60,D,Teacher,MORTGAGE,51000.0,Fully Paid,credit_card,False
5000,0.1691,36,C,General Manager,MORTGAGE,68000.0,Fully Paid,car,False
10000,0.0702,36,A,Executive Assistant,MORTGAGE,59000.0,Fully Paid,credit_card,False
12500,0.1894,36,D,Software Engineer,RENT,79000.0,Fully Paid,debt_consolidation,False
15000,0.0819,36,A,Project Manager,MORTGAGE,120000.0,Fully Paid,debt_consolidation,False
11500,0.2089,60,D,Teacher,MORTGAGE,45000.0,Fully Paid,debt_consolidation,False
8000,0.1131,36,B,President,RENT,230000.0,Fully Paid,home_improvement,False
15600,0.1447,36,C,Account Manager,MORTGAGE,52000.0,Fully Paid,debt_consolidation,False
7500,0.0756,36,A,Driver,MORTGAGE,130000.0,Fully Paid,debt_consolidation,False
27650,0.118,36,B,Manager,RENT,107000.0,Fully Paid,debt_consolidation,False
17750,0.1072,36,B,Project Manager,MORTGAGE,120000.0,Fully Paid,debt_consolidation,False
14400,0.118,60,B,Sales Manager,MORTGAGE,120000.0,Fully Paid,credit_card,False
15000,0.1502,36,C,Truck Driver,MORTGAGE,75000.0,Fully Paid,home_improvement,False
15000,0.0756,36,A,Manager,MORTGAGE,70000.0,Fully Paid,debt_consolidation,False
20000,0.1131,36,B,Nurse,MORTGAGE,72000.0,Fully Paid,debt_consolidation,False
24000,0.1356,60,C,Teacher,MORTGAGE,50000.0,Fully Paid,major_purchase,False
3000,0.2727,36,E,Office Manager,MORTGAGE,120000.0,Fully Paid,other,False
14400,0.1008,60,B,Nurse,MORTGAGE,55000.0,Fully Paid,debt_consolidation,False
8000,0.1356,36,C,Project Manager,MORTGAGE,113021.0,Fully Paid,debt_consolidation,False
15000,0.118,60,B,Attorney,MORTGAGE,205000.0,Fully Paid,debt_consolidation,False
35000,0.1298,60,B,Teacher,MORTGAGE,120000.0,Fully Paid,home_improvement,False
1500,0.0819,36,A,Driver,RENT,80000.0,Fully Paid,car,False
35000,0.1447,36,C,Engineer,RENT,95000.0,Charged Off,home_improvement,True
5000,0.1298,36,B,Truck Driver,MORTGAGE,68000.0,Fully Paid,car,False
10750,0.0819,36,A,Manager,RENT,50000.0,Fully Paid,debt_consolidation,False
1500,0.1033,36,B,Teacher,RENT,85000.0,Fully Paid,credit_card,False
5500,0.2235,36,D,Driver,MORTGAGE,52000.0,Fully Paid,debt_consolidation,False
12000,0.1992,36,D,Director,OWN,72000.0,Fully Paid,debt_consolidation,False
12000,0.1131,36,B,Supervisor,MORTGAGE,58000.0,Fully Paid,credit_card,False
16000,0.1273,36,B,Supervisor,MORTGAGE,96000.0,Fully Paid,debt_consolidation,False
38400,0.118,36,B,Police Officer,MORTGAGE,101000.0,Fully Paid,debt_consolidation,False
7500,0.0881,36,A,General Manager,MORTGAGE,52000.0,Fully Paid,debt_consolidation,False
5500,0.0819,36,A,Administrative Assistant,RENT,61000.0,Fully Paid,debt_consolidation,False
10000,0.1298,60,B,Executive Assistant,RENT,69000.0,Fully Paid,debt_consolidation,False
5000,0.1298,36,B,Administrator,MORTGAGE,140000.0,Fully Paid,credit_card,False
3500,0.0881,36,A,Sales,RENT,50000.0,Fully Paid,debt_consolidation,False
13000,0.0611,36,A,Controller,MORTGAGE,80000.0,Fully Paid,credit_card,False
22000,0.118,36,B,Nurse,MORTGAGE,100000.0,Fully Paid,credit_card,False
15000,0.0881,36,A,Nurse,MORTGAGE,150000.0,Fully Paid,home_improvement,False
26000,0.1502,60,C,Vice President,MORTGAGE,307000.0,Fully Paid,other,False
17000,0.1691,36,C,Analyst,MORTGAGE,57000.0,Fully Paid,credit_card,False
5500,0.1447,36,C,Owner,OWN,34000.0,Fully Paid,small_business,False
18000,0.1797,36,D,Manager,RENT,80713.0,Fully Paid,debt_consolidation,False
15500,0.2089,36,D,Manager,RENT,70000.0,Fully Paid,debt_consolidation,False
3000,0.1894,36,D,Supervisor,MORTGAGE,55800.0,Fully Paid,other,False
16000,0.0611,36,A,Controller,MORTGAGE,90000.0,Fully Paid,credit_card,False
22600,0.1992,36,D,Mechanic,RENT,80000.0,Fully Paid,car,False
10500,0.1797,60,D,Mechanic,MORTGAGE,70000.0,Fully Paid,debt_consolidation,False
3600,0.118,36,B,Accountant,OWN,95000.0,Fully Paid,major_purchase,False
10000,0.1298,36,B,Teacher,OWN,62000.0,Fully Paid,house,False
5000,0.1072,36,B,Director,MORTGAGE,135000.0,Fully Paid,medical,False
6300,0.1894,36,D,Driver,MORTGAGE,48000.0,Fully Paid,debt_consolidation,False
1600,0.0819,36,A,Nurse,RENT,85000.0,Fully Paid,credit_card,False
35000,0.1008,60,B,President,OWN,150000.0,Fully Paid,credit_card,False
10000,0.1691,36,C,Nurse,MORTGAGE,100000.0,Fully Paid,credit_card,False
1000,0.0819,36,A,Server,RENT,25000.0,Fully Paid,debt_consolidation,False
25000,0.0646,36,A,Technician,MORTGAGE,83200.0,Charged Off,debt_consolidation,True
24000,0.2872,60,F,Truck Driver,MORTGAGE,80000.0,Fully Paid,debt_consolidation,False
30000,0.118,36,B,Manager,RENT,86000.0,Fully Paid,debt_consolidation,False
5400,0.1797,36,D,Manager,MORTGAGE,70000.0,Fully Paid,debt_consolidation,False
20000,0.2727,60,E,Teacher,MORTGAGE,56000.0,Fully Paid,debt_consolidation,False
40000,0.1155,60,B,Supervisor,MORTGAGE,85000.0,Fully Paid,home_improvement,False
8000,0.0702,36,A,Manager,MORTGAGE,131000.0,Fully Paid,credit_card,False
5000,0.0756,36,A,Driver,MORTGAGE,63000.0,Fully Paid,home_improvement,False
15000,0.1106,36,B,Teacher,MORTGAGE,53000.0,Fully Paid,debt_consolidation,False
9000,0.0646,36,A,Nurse,MORTGAGE,90000.0,Fully Paid,home_improvement,False
2700,0.1072,36,B,Office Manager,OWN,60000.0,Fully Paid,debt_consolidation,False
20000,0.2969,60,F,Driver,MORTGAGE,94000.0,Fully Paid,home_improvement,False
26400,0.2235,60,D,President,RENT,300000.0,Fully Paid,debt_consolidation,False
21300,0.1614,60,C,Manager,RENT,71000.0,Fully Paid,debt_consolidation,False
26000,0.2727,60,E,Sales Manager,RENT,45000.0,Fully Paid,debt_consolidation,False
14000,0.0846,36,A,President,MORTGAGE,385000.0,Fully Paid,other,False
10000,0.1106,36,B,Manager,RENT,80500.0,Fully Paid,debt_consolidation,False
4000,0.1447,36,C,Driver,MORTGAGE,68000.0,Fully Paid,other,False
15000,0.1894,60,D,Technician,OWN,35000.0,Fully Paid,debt_consolidation,False
30000,0.2089,36,D,Supervisor,MORTGAGE,95000.0,Fully Paid,debt_consolidation,False
10000,0.2631,60,E,Assistant Manager,RENT,35500.0,Fully Paid,car,False
10000,0.1047,36,B,Teacher,MORTGAGE,90000.0,Fully Paid,home_improvement,False
40000,0.1047,60,B,Teacher,MORTGAGE,58000.0,Fully Paid,home_improvement,False
18000,0.2089,60,D,Manager,RENT,55000.0,Fully Paid,credit_card,False
8000,0.0846,36,A,Truck Driver,MORTGAGE,55000.0,Fully Paid,credit_card,False
20000,0.0721,36,A,Nurse,MORTGAGE,75000.0,Fully Paid,debt_consolidation,False
5000,0.1992,36,D,Supervisor,RENT,95000.0,Fully Paid,moving,False
40000,0.1047,60,B,Paralegal,MORTGAGE,185000.0,Fully Paid,debt_consolidation,False
15000,0.1797,36,D,Sales Manager,RENT,79000.0,Fully Paid,debt_consolidation,False
3000,0.1155,36,B,Office Manager,MORTGAGE,65000.0,Fully Paid,other,False
2700,0.1992,36,D,Teacher,MORTGAGE,61708.0,Fully Paid,vacation,False
21000,0.2969,60,F,Teacher,MORTGAGE,49000.0,Fully Paid,other,False
8000,0.1691,36,C,Server,RENT,38000.0,Fully Paid,other,False
28000,0.2631,60,E,Project Manager,OWN,98000.0,Fully Paid,debt_consolidation,False
20000,0.2339999999999999,60,E,Police Officer,MORTGAGE,100000.0,Fully Paid,home_improvement,False
1000,0.1614,36,C,Teacher,RENT,23100.0,Fully Paid,credit_card,False
1325,0.1894,36,D,Manager,MORTGAGE,72409.0,Fully Paid,other,False
7200,0.1155,36,B,Sales,RENT,62000.0,Fully Paid,credit_card,False
2500,0.1894,36,D,Teacher,OWN,130002.0,Fully Paid,major_purchase,False
25100,0.3084,60,G,Sales,MORTGAGE,56000.0,Fully Paid,other,False
25000,0.0611,36,A,Program Manager,MORTGAGE,160000.0,Fully Paid,debt_consolidation,False
22200,0.0846,36,A,Operations Manager,MORTGAGE,66600.0,Fully Paid,debt_consolidation,False
10000,0.0846,36,A,Foreman,MORTGAGE,41000.0,Fully Paid,credit_card,False
15000,0.1008,60,B,Program Manager,MORTGAGE,234000.0,Fully Paid,debt_consolidation,False
6000,0.2089,36,D,Executive Assistant,RENT,59850.0,Fully Paid,moving,False
7000,0.1691,36,C,Administrative Assistant,MORTGAGE,56000.0,Fully Paid,home_improvement,False
20000,0.1614,36,C,Nurse,MORTGAGE,145000.0,Fully Paid,debt_consolidation,False
9000,0.1106,36,B,Sales,MORTGAGE,115000.0,Fully Paid,credit_card,False
40000,0.0611,36,A,Engineer,MORTGAGE,140000.0,Fully Paid,debt_consolidation,False
12000,0.2437,60,E,General Manager,MORTGAGE,63000.0,Fully Paid,medical,False
10000,0.0784,36,A,Teacher,RENT,95000.0,Fully Paid,credit_card,False
20000,0.1502,36,C,Mechanic,MORTGAGE,80000.0,Fully Paid,home_improvement,False
13000,0.0721,36,A,Office Manager,MORTGAGE,35000.0,Fully Paid,home_improvement,False
12000,0.1356,60,C,Teacher,OWN,50000.0,Fully Paid,credit_card,False
11500,0.1894,36,D,Sales Manager,OWN,78000.0,Fully Paid,other,False
11000,0.1155,60,B,Teacher,MORTGAGE,65000.0,Fully Paid,credit_card,False
10000,0.1273,36,B,Supervisor,MORTGAGE,55000.0,Fully Paid,credit_card,False
24000,0.1356,36,C,Truck Driver,RENT,60000.0,Fully Paid,debt_consolidation,False
2000,0.1894,36,D,Nurse,MORTGAGE,62500.0,Fully Paid,debt_consolidation,False
25000,0.0846,36,A,Consultant,OWN,450000.0,Fully Paid,home_improvement,False
5000,0.1008,36,B,Nurse,MORTGAGE,90000.0,Fully Paid,home_improvement,False
17000,0.2339999999999999,36,E,Operations Manager,MORTGAGE,75000.0,Fully Paid,debt_consolidation,False
15000,0.0721,36,A,Technician,MORTGAGE,65000.0,Fully Paid,debt_consolidation,False
40000,0.0667,36,A,Accountant,MORTGAGE,70000.0,Fully Paid,debt_consolidation,False
10000,0.0721,36,A,Manager,RENT,85000.0,Fully Paid,debt_consolidation,False
3000,0.2437,36,E,Administrative Assistant,MORTGAGE,33000.0,Fully Paid,debt_consolidation,False
3000,0.0846,36,A,Electrician,RENT,58000.0,Fully Paid,debt_consolidation,False
8500,0.0667,36,A,Supervisor,MORTGAGE,170000.0,Fully Paid,debt_consolidation,False
35000,0.1797,60,D,General Manager,MORTGAGE,102000.0,Fully Paid,debt_consolidation,False
21950,0.1502,36,C,Teacher,MORTGAGE,57800.0,Fully Paid,medical,False
12000,0.1447,60,C,Administrative Assistant,MORTGAGE,37000.0,Fully Paid,debt_consolidation,False
35000,0.0667,36,A,Vice President,OWN,182000.0,Fully Paid,home_improvement,False
16000,0.0611,36,A,Director,MORTGAGE,200000.0,Fully Paid,credit_card,False
7700,0.2437,36,E,Engineer,MORTGAGE,117000.0,Fully Paid,debt_consolidation,False
16000,0.1502,60,C,General Manager,MORTGAGE,80000.0,Fully Paid,debt_consolidation,False
12500,0.0846,60,A,Store Manager,MORTGAGE,55000.0,Fully Paid,credit_card,False
12000,0.2631,36,E,Nurse,RENT,65000.0,Fully Paid,other,False
14000,0.0611,36,A,Teacher,RENT,76727.0,Fully Paid,debt_consolidation,False
3000,0.1047,36,B,Project Manager,MORTGAGE,90000.0,Fully Paid,vacation,False
5000,0.1502,36,C,Nurse,OWN,110000.0,Fully Paid,debt_consolidation,False
15000,0.2235,60,D,Manager,RENT,60000.0,Fully Paid,credit_card,False
10000,0.1273,36,B,Nurse,RENT,84000.0,Fully Paid,debt_consolidation,False
6050,0.1502,36,C,Controller,MORTGAGE,152400.0,Fully Paid,credit_card,False
6000,0.1008,36,B,Director,MORTGAGE,45000.0,Fully Paid,debt_consolidation,False
35000,0.0784,36,A,Teacher,MORTGAGE,135000.0,Fully Paid,debt_consolidation,False
35000,0.0784,60,A,Teacher,MORTGAGE,110000.0,Fully Paid,home_improvement,False
7000,0.0721,36,A,Project Manager,OWN,91000.0,Fully Paid,home_improvement,False
15000,0.1273,36,B,Consultant,MORTGAGE,160000.0,Fully Paid,medical,False
20000,0.1614,60,C,Program Manager,OWN,63633.0,Fully Paid,credit_card,False
40000,0.0611,36,A,Project Manager,MORTGAGE,78000.0,Fully Paid,debt_consolidation,False
4325,0.1008,36,B,Teacher,RENT,50000.0,Fully Paid,credit_card,False
11475,0.1614,60,C,Nurse,MORTGAGE,150000.0,Fully Paid,debt_consolidation,False
12500,0.0721,36,A,Manager,RENT,80000.0,Fully Paid,debt_consolidation,False
15000,0.1047,36,B,Electrician,MORTGAGE,110000.0,Fully Paid,debt_consolidation,False
40000,0.0611,36,A,General Manager,MORTGAGE,350000.0,Fully Paid,home_improvement,False
24000,0.1273,60,B,Account Manager,MORTGAGE,300000.0,Fully Paid,debt_consolidation,False
1500,0.1894,36,D,Teacher,OWN,50000.0,Fully Paid,debt_consolidation,False
35000,0.1797,60,D,Operations Manager,MORTGAGE,110000.0,Fully Paid,debt_consolidation,False
32000,0.1273,36,B,Teacher,MORTGAGE,60000.0,Fully Paid,debt_consolidation,False
10000,0.0611,36,A,Teacher,MORTGAGE,90200.0,Fully Paid,debt_consolidation,False
20000,0.1155,36,B,Nurse,MORTGAGE,98000.0,Fully Paid,debt_consolidation,False
6500,0.1356,36,C,Sales,MORTGAGE,70000.0,Fully Paid,credit_card,False
16000,0.1047,36,B,Driver,MORTGAGE,68000.0,Fully Paid,home_improvement,False
4200,0.1447,36,C,Office Manager,RENT,125000.0,Fully Paid,debt_consolidation,False
2500,0.0846,36,A,Driver,RENT,78000.0,Fully Paid,debt_consolidation,False
3500,0.1356,36,C,Analyst,RENT,90000.0,Fully Paid,other,False
2000,0.1614,36,C,Truck Driver,MORTGAGE,68000.0,Fully Paid,other,False
12000,0.0721,36,A,Driver,MORTGAGE,80500.0,Fully Paid,debt_consolidation,False
3600,0.0611,36,A,Driver,RENT,45000.0,Fully Paid,credit_card,False
1500,0.1447,36,C,Account Manager,MORTGAGE,53000.0,Fully Paid,other,False
32000,0.1155,60,B,Teacher,RENT,63000.0,Fully Paid,debt_consolidation,False
22500,0.1047,60,B,Nurse,MORTGAGE,85000.0,Fully Paid,home_improvement,False
